Mapa,Cve_Ent,Nom_Ent,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ambito,Latitud,Longitud,Altitud,Cve_Carta
30031693,3,Baja California Sur,3,La Paz,1693,El Cantil,R,"24°41´43.952N""","111°19´28.890W""",72,G12C69
30031694,3,Baja California Sur,3,La Paz,1694,San Andres,R,"24°46´23.156N""","111°15´05.396W""",100,G12C59
30031698,3,Baja California Sur,3,La Paz,1698,Canta Rana,R,"24°51´02.209N""","111°04´42.381W""",183,G12C59
30031699,3,Baja California Sur,3,La Paz,1699,La Capilla,R,"24°53´13.461N""","111°01´51.246W""",214,G12C59
30031700,3,Baja California Sur,3,La Paz,1700,El Caporal,R,"24°47´54.266N""","111°11´56.911W""",121,G12C59
30031702,3,Baja California Sur,3,La Paz,1702,El Chamizal,R,"24°41´34.923N""","111°20´06.574W""",76,G12C68
30031704,3,Baja California Sur,3,La Paz,1704,Iraqui,R,"24°49´50.576N""","111°13´12.963W""",133,G12C59
30031706,3,Baja California Sur,3,La Paz,1706,El Paso De Encinas,R,"24°46´49.347N""","111°09´01.299W""",125,G12C59
30031707,3,Baja California Sur,3,La Paz,1707,La Presa De Guadalupe,R,"24°52´15.324N""","111°03´19.681W""",191,G12C59
30031708,3,Baja California Sur,3,La Paz,1708,Punta Del Cerro,R,"24°37´29.782N""","111°04´31.582W""",161,G12C69
30031711,3,Baja California Sur,3,La Paz,1711,San Ignacio,R,"24°43´27.677N""","111°18´22.020W""",81,G12C69
30031713,3,Baja California Sur,3,La Paz,1713,El Sauce,R,"24°39´49.684N""","111°03´51.426W""",168,G12C69
30031714,3,Baja California Sur,3,La Paz,1714,El Saucito,R,"24°42´32.567N""","111°19´50.923W""",70,G12C69
30031715,3,Baja California Sur,3,La Paz,1715,Las Tinajas De Orantes,R,"24°46´02.912N""","111°06´51.364W""",188,G12C59
30031716,3,Baja California Sur,3,La Paz,1716,Las Tinajitas,R,"24°44´48.147N""","111°09´02.129W""",155,G12C69
30031717,3,Baja California Sur,3,La Paz,1717,Santa Maria De Toris,R,"24°53´56.799N""","111°01´33.824W""",222,G12C59
30031718,3,Baja California Sur,3,La Paz,1718,Santa Teresita,R,"24°47´52.706N""","111°12´45.008W""",120,G12C59
30031724,3,Baja California Sur,3,La Paz,1724,La Bolsa Del Toro,R,"24°43´58.810N""","111°16´28.426W""",89,G12C69
30031725,3,Baja California Sur,3,La Paz,1725,Agüi Viejo,R,"24°47´37.461N""","111°06´27.837W""",181,G12C59
30031732,3,Baja California Sur,3,La Paz,1732,El Merecuaco,R,"24°48´32.429N""","111°07´59.522W""",137,G12C59
30031734,3,Baja California Sur,3,La Paz,1734,La Redencion,R,"24°49´39.812N""","111°07´09.623W""",162,G12C59
30031735,3,Baja California Sur,3,La Paz,1735,San Cayetano Del Ciruelo,R,"24°48´57.156N""","111°05´12.060W""",186,G12C59
30031737,3,Baja California Sur,3,La Paz,1737,Saucito Del Cedro,R,"24°42´49.954N""","110°58´46.898W""",210,G12D61
30031739,3,Baja California Sur,3,La Paz,1739,A Donde,R,"23°41´24.604N""","110°02´59.837W""",663,F12B23
30031740,3,Baja California Sur,3,La Paz,1740,El Ademado,R,"23°39´35.841N""","110°08´50.808W""",333,F12B23
30031745,3,Baja California Sur,3,La Paz,1745,El Agua De Los Coyotes,R,"24°40´20.648N""","111°22´18.901W""",60,G12C68
30031746,3,Baja California Sur,3,La Paz,1746,Aguaje De San Vicente,R,"23°11´25.285N""","109°58´05.891W""",697,F12B44
30031749,3,Baja California Sur,3,La Paz,1749,El Aguajito,R,"23°45´49.501N""","110°07´46.715W""",440,F12B13
30031751,3,Baja California Sur,3,La Paz,1751,Los Alamitos,R,"23°52´14.017N""","110°09´21.703W""",421,F12B13
30031752,3,Baja California Sur,3,La Paz,1752,Las Albondigas,R,"23°18´36.854N""","110°04´39.307W""",257,F12B33
30031753,3,Baja California Sur,3,La Paz,1753,Los Altares,R,"23°54´29.503N""","110°28´54.912W""",150,F12B12
30031755,3,Baja California Sur,3,La Paz,1755,El Aparejo,R,"23°56´34.212N""","109°54´41.357W""",33,F12B14
30031756,3,Baja California Sur,3,La Paz,1756,El Arroyo Del Diablo,R,"23°56´19.459N""","110°04´10.157W""",399,F12B13
30031757,3,Baja California Sur,3,La Paz,1757,El Arroyo Del Novillo,R,"23°55´45.786N""","110°18´30.940W""",139,F12B13
30031759,3,Baja California Sur,3,La Paz,1759,El Barranco,R,"23°20´45.580N""","110°00´15.820W""",507,F12B33
30031760,3,Baja California Sur,3,La Paz,1760,El Batequito,R,"23°29´14.836N""","110°15´59.526W""",14,F12B33
30031762,3,Baja California Sur,3,La Paz,1762,Bellavista,R,"23°39´23.468N""","110°02´39.551W""",580,F12B23
30031778,3,Baja California Sur,3,La Paz,1778,El Califin,R,"24°16´09.065N""","110°37´08.624W""",4,G12D72
30031779,3,Baja California Sur,3,La Paz,1779,Las Canoas,R,"24°40´24.268N""","111°23´03.159W""",61,G12C68
30031780,3,Baja California Sur,3,La Paz,1780,Cañada De La Huerta,R,"23°46´44.886N""","109°42´38.602W""",13,F12B14
30031783,3,Baja California Sur,3,La Paz,1783,Piedras Coloradas,R,"24°21´36.483N""","110°40´59.049W""",13,G12D71
30031784,3,Baja California Sur,3,La Paz,1784,Los Cerritos,R,"23°19´57.071N""","110°10´30.715W""",15,F12B33
30031787,3,Baja California Sur,3,La Paz,1787,El Chaparral,R,"23°54´58.377N""","110°46´13.475W""",37,F12B11
30031793,3,Baja California Sur,3,La Paz,1793,El Milagro,R,"23°33´45.058N""","110°04´25.324W""",464,F12B23
30031795,3,Baja California Sur,3,La Paz,1795,Colonia Campestre Del Periodista,R,"23°42´48.409N""","110°13´50.668W""",254,F12B23
30031800,3,Baja California Sur,3,La Paz,1800,El Corral De Las Choyas,R,"24°17´39.255N""","111°13´38.213W""",11,G12C79
30031802,3,Baja California Sur,3,La Paz,1802,El Creston,R,"23°13´18.660N""","110°02´26.317W""",207,F12B43
30031808,3,Baja California Sur,3,La Paz,1808,El Dorado,R,"24°35´52.623N""","111°08´33.255W""",128,G12C69
30031809,3,Baja California Sur,3,La Paz,1809,Los Dos Amigos,R,"24°05´55.885N""","110°38´30.979W""",266,G12D82
30031811,3,Baja California Sur,3,La Paz,1811,El Vergel,R,"24°05´06.783N""","110°22´11.441W""",8,G12D82
30031813,3,Baja California Sur,3,La Paz,1813,Ejido San Luis,R,"23°55´00.887N""","109°56´52.341W""",61,F12B14
30031814,3,Baja California Sur,3,La Paz,1814,El Fundador,R,"23°57´03.473N""","109°54´24.193W""",28,F12B14
30031816,3,Baja California Sur,3,La Paz,1816,La Encina,R,"23°55´46.928N""","110°13´39.458W""",222,F12B13
30031818,3,Baja California Sur,3,La Paz,1818,El Estribo,R,"24°05´22.802N""","110°22´51.920W""",6,G12D82
30031819,3,Baja California Sur,3,La Paz,1819,Las Flores,R,"23°46´09.282N""","110°18´10.837W""",180,F12B13
30031820,3,Baja California Sur,3,La Paz,1820,Forestal,R,"23°33´02.427N""","109°59´30.648W""",1797,F12B24
30031822,3,Baja California Sur,3,La Paz,1822,El Gavilan,R,"23°53´37.759N""","110°19´07.650W""",125,F12B13
30031823,3,Baja California Sur,3,La Paz,1823,El Retiro [Granja],R,"24°12´40.388N""","110°15´18.224W""",81,G12D83
30031824,3,Baja California Sur,3,La Paz,1824,Rancho Guadalupe,R,"24°03´10.864N""","110°23´01.913W""",29,G12D82
30031827,3,Baja California Sur,3,La Paz,1827,Hierba Del Manzo,R,"23°39´49.747N""","110°03´23.658W""",528,F12B23
30031829,3,Baja California Sur,3,La Paz,1829,La Huertita,R,"23°21´56.688N""","110°09´51.023W""",60,F12B33
30031830,3,Baja California Sur,3,La Paz,1830,Las Higueritas,R,"24°41´25.415N""","110°59´35.179W""",193,G12D61
30031831,3,Baja California Sur,3,La Paz,1831,El Rinconcito,R,"23°20´35.398N""","110°00´02.268W""",532,F12B33
30031834,3,Baja California Sur,3,La Paz,1834,Jesus Maria,R,"23°39´43.225N""","110°03´32.143W""",516,F12B23
30031836,3,Baja California Sur,3,La Paz,1836,Santa Maria (El Juyateve),R,"23°49´50.091N""","110°18´20.128W""",161,F12B13
30031840,3,Baja California Sur,3,La Paz,1840,Lupita [Loncheria],R,"24°20´01.173N""","110°59´31.683W""",120,G12D71
30031843,3,Baja California Sur,3,La Paz,1843,El Magueyal,R,"23°45´52.979N""","110°15´53.798W""",219,F12B13
30031844,3,Baja California Sur,3,La Paz,1844,Mar Azul (San Patricio),R,"23°11´36.180N""","110°08´17.491W""",19,F12B43
30031846,3,Baja California Sur,3,La Paz,1846,La Puerta,R,"23°52´08.360N""","110°11´16.216W""",374,F12B13
30031848,3,Baja California Sur,3,La Paz,1848,La Mesa Del Encino,R,"23°20´57.519N""","110°00´52.526W""",472,F12B33
30031849,3,Baja California Sur,3,La Paz,1849,La Mesa Del Molino,R,"23°43´29.460N""","110°10´55.508W""",320,F12B23
30031851,3,Baja California Sur,3,La Paz,1851,El Mezcalito,R,"23°33´49.212N""","110°03´49.021W""",519,F12B23
30031853,3,Baja California Sur,3,La Paz,1853,El Mezquital,R,"23°57´58.244N""","109°55´33.177W""",18,F12B14
30031854,3,Baja California Sur,3,La Paz,1854,El Mezquital,R,"23°57´44.141N""","110°00´04.143W""",35,F12B13
30031855,3,Baja California Sur,3,La Paz,1855,El Mezquiton,R,"23°43´19.819N""","110°17´35.302W""",183,F12B23
30031856,3,Baja California Sur,3,La Paz,1856,Miramar,R,"23°12´12.504N""","109°57´52.480W""",809,F12B44
30031857,3,Baja California Sur,3,La Paz,1857,Moscu,R,"24°03´54.082N""","110°10´32.080W""",486,G12D83
30031858,3,Baja California Sur,3,La Paz,1858,El Negrito,R,"23°21´29.710N""","110°10´37.850W""",26,F12B33
30031860,3,Baja California Sur,3,La Paz,1860,El Novillo,R,"23°55´42.001N""","110°13´28.614W""",226,F12B13
30031861,3,Baja California Sur,3,La Paz,1861,Olas Altas,R,"24°04´45.890N""","110°21´06.382W""",13,G12D82
30031862,3,Baja California Sur,3,La Paz,1862,El Oregano,R,"24°08´43.349N""","110°15´11.316W""",142,G12D83
30031863,3,Baja California Sur,3,La Paz,1863,El Otro Arroyo,R,"23°44´10.175N""","110°06´14.469W""",460,F12B23
30031864,3,Baja California Sur,3,La Paz,1864,El Parral,R,"24°02´54.159N""","110°08´04.769W""",686,G12D83
30031867,3,Baja California Sur,3,La Paz,1867,Las Palmas,R,"23°55´49.179N""","110°13´45.139W""",219,F12B13
30031869,3,Baja California Sur,3,La Paz,1869,Las Palmas,R,"24°04´05.461N""","110°22´14.235W""",16,G12D82
30031870,3,Baja California Sur,3,La Paz,1870,La Palmilla,R,"23°10´14.397N""","109°57´41.149W""",756,F12B44
30031871,3,Baja California Sur,3,La Paz,1871,La Palmilla,R,"23°39´48.993N""","110°02´30.072W""",589,F12B23
30031872,3,Baja California Sur,3,La Paz,1872,La Palmita,R,"23°48´18.625N""","110°18´37.989W""",170,F12B13
30031873,3,Baja California Sur,3,La Paz,1873,San Jose,R,"24°55´18.282N""","111°01´22.357W""",245,G12C59
30031876,3,Baja California Sur,3,La Paz,1876,Las Dos Palomas,R,"24°03´27.002N""","110°20´37.235W""",23,G12D82
30031879,3,Baja California Sur,3,La Paz,1879,El Paraje,R,"24°50´38.036N""","110°57´55.182W""",276,G12D51
30031882,3,Baja California Sur,3,La Paz,1882,La Pastora,R,"23°29´48.980N""","110°16´33.000W""",7,F12B33
30031884,3,Baja California Sur,3,La Paz,1884,El Pescadero,R,"23°45´47.729N""","109°42´41.798W""",8,F12B14
